time(millisecond),latitude,longitude,height_above_takeoff,speed,zSpeed,battery_percent,satellites,compass_heading(degrees),flycState
0,36.621900,127.503200,0,0,0,96,18,35,GPS
1000,36.622020,127.503330,8,6.4,1.1,96,18,38,GPS
2000,36.622130,127.503470,18,9.2,1.0,95,19,42,GPS
3000,36.622250,127.503630,29,10.1,0.8,95,19,45,GPS
4000,36.622380,127.503790,40,10.3,0.2,94,20,48,GPS
5000,36.622510,127.503950,41,10.0,0.0,94,20,51,GPS
6000,36.622650,127.504110,41,9.8,-0.1,93,19,53,GPS
7000,36.622780,127.504270,40,9.7,-0.1,93,19,55,GPS
8000,36.622920,127.504430,40,9.5,0.0,92,18,57,GPS
9000,36.623050,127.504590,40,9.2,0.0,92,18,59,GPS
